seriec_179_esp.pdf in page 28:   '$9.032.00', '$300.000,00', '$78.09'
seriec_179_esp.pdf in page 29:   '$55.567.055,00', '$50.421.736'
seriec_209_esp.pdf in page 96:   '$343,816.95'
seriec_209_esp.pdf in page 97:   '$65,640.98', '$12,000.00', '$17,400.00'
seriec_209_esp.pdf in page 98:   '$1,300.00', '$30,000.00'
seriec_209_esp.pdf in page 99:   '$80,000.00', '$40,000.00'
seriec_209_esp.pdf in page 100:   '$18,000', '$325,000', '$83,700'
seriec_209_esp.pdf in page 101:   '$2,910,686.99', '$25,000.00'
seriec_293_esp.pdf in page 115:   '$25.000'
seriec_293_esp.pdf in page 116:   '$10.000', '$50.000'
CtIDH_Casos_Esp_2009.pdf in page 78:   '$5,499.34', '$3,354.92', '$60,681.11'
CtIDH_Casos_Esp_2009.pdf in page 80:   '$20.000.00', '$40.000.00', '$30.000.00'
CtIDH_Casos_Esp_2009.pdf in page 81:   '$96.92', '$9,885.38', '$11,189.29', '$20,455.95'
CtIDH_Casos_Esp_2009.pdf in page 82:   '$9.500.00', '$27.000.00', '$96.92'
CtIDH_Casos_Esp_2009.pdf in page 196:   '$343,816.95'
CtIDH_Casos_Esp_2009.pdf in page 197:   '$65,640.98', '$12,000.00', '$17,400.00'
CtIDH_Casos_Esp_2009.pdf in page 198:   '$1,300.00', '$30,000.00'
CtIDH_Casos_Esp_2009.pdf in page 199:   '$80,000.00', '$40,000.00'
CtIDH_Casos_Esp_2009.pdf in page 200:   '$18,000', '$325,000', '$83,700'
CtIDH_Casos_Esp_2009.pdf in page 201:   '$2,910,686.99', '$25,000.00'
CtIDH_Casos_Esp_2009.pdf in page 264:   '$30.000'
CtIDH_Casos_Esp_2009.pdf in page 401:   '$529.000.000,00', '$290.000.000,00', '$112.300.000,00'
CtIDH_Casos_Esp_2009.pdf in page 416:   '$136,656.00', '$34,164.00', '$34,164.00', '$34,164.00', '$34,164.00', '$273,312.00', '$551.874,27', '$504.602,62'
CtIDH_Casos_Esp_2009.pdf in page 417:   '$136,656.00', '$136,656.00', '$114.200,00', '$1,00', '$30.000,00'
CtIDH_Casos_Esp_2009.pdf in page 418:   '$83.000,00', '$60.000,00', '$83.660,00'
CtIDH_Casos_Esp_2009.pdf in page 421:   '$10.000,00', '$150,00', '$150,00'
CtIDH_Casos_Esp_2009.pdf in page 422:   '$600,00', '$1.050,00'
CtIDH_Casos_Esp_2009.pdf in page 424:   '$145.500,00', '$134.000,00', '$140.500,00', '$10.000,00'
CtIDH_Casos_Esp_2009.pdf in page 425:   '$10.000,00', '$40.000,00', '$15.000,00', '$11.000,00', '$12.000,00', '$11.000,00', '$11.000,00', '$11.000,00', '$11.000,00'
CtIDH_Casos_Esp_2009.pdf in page 426:   '$11.000,00', '$38.000,00', '$15.000,00', '$11.000,00', '$11.000,00', '$11.000,00', '$11.000,00', '$11.000,00', '$40.000,00', '$18.000,00', '$12.000,00', '$12.000,00', '$12.000,00', '$12.000,00', '$12.000,00', '$12.000,00', '$12.000,00'
CtIDH_Casos_Esp_2009.pdf in page 427:   '$44.776,11', '$205.351,85', '$14.490,74', '$33.230,00', '$284.498,00'
CtIDH_Casos_Esp_2009.pdf in page 428:   '$244'
CtIDH_Casos_Esp_2009.pdf in page 615:   '$900,00', '$1.000,00', '$15.000,00'
CtIDH_Casos_Esp_2009.pdf in page 616:   '$124.273,00', '$248.546,00', '$186.410,00', '$140.000,00'
CtIDH_Casos_Esp_2009.pdf in page 617:   '$100.000,00', '$80.000,00'
CtIDH_Casos_Esp_2009.pdf in page 618:   '$80.000,00', '$50.000,00', '$20.000,00'
CtIDH_Casos_Esp_2009.pdf in page 619:   '$225,00', '$7.000,00', '$5.500,00', '$14.000,00'
CtIDH_Casos_Esp_2009.pdf in page 723:   '$16.956,60'
CtIDH_Casos_Esp_2009.pdf in page 848:   '$600.00', '$600.00', '$800.00', '$300.00'
CtIDH_Casos_Esp_2009.pdf in page 849:   '$1,000.00', '$303.849.00'
CtIDH_Casos_Esp_2009.pdf in page 850:   '$70,000.00'
CtIDH_Casos_Esp_2009.pdf in page 851:   '$20,000.00', '$20,000.00', '$10,000.00', '$5,000.00', '$50,000.00'
CtIDH_Casos_Esp_2009.pdf in page 858:   '$11,546.77', '$8,465.48', '$20,012.25'
CtIDH_Casos_Esp_2009.pdf in page 859:   '$15,695.00', '$19,000.00'
CtIDH_Casos_Esp_2009.pdf in page 1187:   '$30,00', '$15.000,00'
CtIDH_Casos_Esp_2009.pdf in page 1191:   '$11,610.71'
CtIDH_Casos_Esp_2009.pdf in page 1192:   '$5,072.44', '$11,600', '$15,000.00'
seriec_162_esp.pdf in page 102:   '$20.000,00'
seriec_162_esp.pdf in page 103:   '$25.000,00', '$5.000,00'
seriec_162_esp.pdf in page 104:   '$8.000,00', '$10.000,00', '$3.000,00', '$9.000,00'
seriec_048_esp.pdf in page 11:   '$1.161.949,00', '$1.329.367,00', '$299.577,70', '$289.469,00', '$112.108,00', '$8.023,00', '$21.374,58', '$19.200,00', '$2.174,58', '$96.470,00'
seriec_048_esp.pdf in page 12:   '$30.000,00', '$12.000,00', '$138.470,00', '$1.161.949,00', '$1.329.367,00'
seriec_048_esp.pdf in page 13:   '$16.000,00', '$138.470,00', '$15.000,00', '$500.000,00'
seriec_048_esp.pdf in page 14:   '$30.000,00'
seriec_048_esp.pdf in page 16:   '$22.802,12'
seriec_048_esp.pdf in page 17:   '$10.000,00'
seriec_048_esp.pdf in page 18:   '$151.000,00', '$30.000,00', '$15.000,00', '$16.000,00', '$10.000,00'
seriec_215_esp.pdf in page 95:   '$5.500,00'
seriec_056_esp.pdf in page 28:   '$390.000,00'
seriec_282_esp.pdf in page 32:   '$50,000.00'
seriec_282_esp.pdf in page 33:   '$35,000'
seriec_282_esp.pdf in page 160:   '$5,000.00', '$3,400', '$2,800', '$5,000', '$200', '$50,000', '$10,500', '$500', '$50,000', '$1,000'
seriec_282_esp.pdf in page 161:   '$3,000', '$42,000'
seriec_282_esp.pdf in page 162:   '$10,000.00', '$10,000.00', '$10,000.00', '$10,000.00', '$10,000.00', '$10,000.00'
seriec_282_esp.pdf in page 163:   '$8,927.00', '$9,742.00', '$200,000.00', '$650', '$14,950.00'
seriec_282_esp.pdf in page 166:   '$10,000.00', '$3,000.00', '$3,000.00', '$3,000.00'
seriec_282_esp.pdf in page 167:   '$5,661.75'
seriec_138_esp.pdf in page 36:   '$45.000,00', '$47.000,00', '$65.000,00'
seriec_138_esp.pdf in page 46:   '$74,274.00', '$61,173.00'
seriec_138_esp.pdf in page 47:   '$14,519.00', '$26,996.76'
seriec_284_esp.pdf in page 66:   '$250.000', '$1.000.000'
seriec_284_esp.pdf in page 68:   '$250.000', '$1.000.000'
seriec_284_esp.pdf in page 69:   '$120.000'
seriec_304_esp.pdf in page 56:   '$3.0'
seriec_251_esp.pdf in page 72:   '$5.000,00'
seriec_251_esp.pdf in page 74:   '$771'
seriec_028_esp.pdf in page 4:   '$240,000', '$2.000,00'
seriec_028_esp.pdf in page 5:   '$5.500,00', '$2.800,00', '$5.000', '$67.000,00', '$197.000', '$5.000,00'
seriec_028_esp.pdf in page 6:   '$23.953,79', '$28.303,94', '$23.139,44', '$26.838,00', '$28.535,66', '$23.139,44', '$27.416,52', '$23.558,79', '$26.145,70', '$27.235,10', '$25.006,34', '$23.139,44', '$28.641,52', '$26.145,70', '$4.566,41', '$125,000', '$62.500,00', "$1'875"
seriec_028_esp.pdf in page 7:   '$29.070,00', '$38.155,00', '$20.000,00'
seriec_028_esp.pdf in page 15:   '$722.332,20'
seriec_129_esp.pdf in page 46:   '$11.248,80', '$102.748,80'
seriec_129_esp.pdf in page 50:   '$2.000'
seriec_129_esp.pdf in page 51:   '$7.200,00', '$5.110'
seriec_328_esp.pdf in page 104:   '$5.845.000,00'
